LineNum,English,Swedish
backend/routes/chatFunctions.js:18,Can't create the chat right now,Kan inte skapa chatten just nu
backend/routes/chatFunctions.js:18,Can't get the chat,Kan inte hämta chatten
backend/routes/chatFunctions.js:18,Can't get chat history,Kan inte hämta chattens historia
backend/routes/chatFunctions.js:18,,
backend/routes/index.js:408,Member of,Medlem i 
backend/routes/index.js:408,,Svensk Barter
backend/routes/index.js:408,You have received this email because you have requested to be a member of ,Du får det här mailet för att du har begärt att vara medlem hos 
backend/routes/index.js:408,,Svensk Barter.
backend/routes/index.js:408,Please click the following link or paste it into your browser to complete the process:,Vänligen klicka på följande länk eller klistra in den i en webbläsare för att slutföra processen:
backend/routes/index.js:408,Your sign in details are:,Dina inloggningsuppgifter är:
backend/routes/index.js:408,Email,E-postaddress
backend/routes/index.js:408,Password,Lösenord
backend/routes/index.js:408,"Sincerely,","Med vänliga hälsningar,"
backend/routes/index.js:408,,Svensk Barter
backend/routes/index.js:408,Unable to send the email to this member,Det gick inte att skicka e-postmeddelandet till denna medlemmen
backend/routes/index.js:408,New member registered!,Den nya medlemmen är nu registrerad!
backend/routes/index.js:408,Unable to register the member.,Det gick inte att registrera medlemmen.
backend/routes/index.js:408,This member already exists.,Denhär medlemmen finns redan.
backend/routes/index.js:408,Password reset,Återställning av lösenord
backend/routes/index.js:408,You have received this email because you (or someone else) have requested that your password at,Du får det här mailet för att du (eller någon annan) har begärt att ditt lösenord hos 
backend/routes/index.js:408,,Svensk Barter 
backend/routes/index.js:408,be reset.,ska återställas.
backend/routes/index.js:408,Please click the following link or paste it into a browser to complete the process:,Vänligen klicka på följande länk eller klistra in den i en webbläsare för att slutföra processen:
backend/routes/index.js:408,"If you have not requested this, please ignore this email and your password will remain unchanged.","Om du inte har begärt detta, vänligen ignorera detta mail så kommer ditt lösenord förbli oförändrat."
backend/routes/index.js:408,Your password has been changed,Ditt lösenord har ändrats
backend/routes/index.js:408,This is a confirmation that the password for your account,Det här är en bekräftelse på att lösenordet för ditt konto 
backend/routes/index.js:408,at,hos 
backend/routes/index.js:408,,Svensk Barter
backend/routes/index.js:408,has changed.,har ändrats.
backend/routes/index.js:408,,