sb.web.app/src/components/AdminSection/Members/member.vue:18,Profile,{{ $t('user.profile') }},0
sb.web.app/src/components/AdminSection/Members/member.vue:18,Transactions,{{ $t('transaction') }},0
sb.web.app/src/components/AdminSection/Members/member.vue:18,Email,{{ $t('user.email') }},0
sb.web.app/src/components/AdminSection/Members/member.vue:18,Purchase requests,{{ $t('user.purchase_requests') }},0
sb.web.app/src/components/AdminSection/Members/member.vue:18,,,0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Last online,{{ $t('user.last_online')}},0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,<replaced>,{{ $t('chat.start') }},0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Edit,{{ $t('user.edit_user') }},0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,member,{{ $t('user.member_label') }},0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Account name,{{ $t('user.business') }},0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Description,{{ $t('user.description') }},0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Street address,{{ $t('user.street_address') }},0
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Town/city,{{ $t('user.town') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Billing information,{{ $t('user.billing') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Contact information,{{ $t('user.contact') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Send,{{ $t('misc.send') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Quantity,{{ $t('quantity') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Comment, {{ $t('user.commentLabel') }},1 
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Send,{{ $t('misc.send') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Request sent, {{ $('user.sentMessagePopupTitle') }},1  
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Okay,{{ $t(no_need_todo_this_actually) }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Your request to send,{{ $('user.bkrRequestToSendCardText') }},1 
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,,{{ $t('org.token') }} till,1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,has been received.,{{ $('user.bkrRequestHasBeenReceivedCardText') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,The transaction could not be completed,{{$('user.failed_transaction_underMessagePopupTitle')}},1  
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Okay,{{ $t(no_need_todo_this_actually) }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,You do not have enough, {{$t('user.bkrFailedTransactionUnderCardText')}},1  
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,,{{ $t('org.token') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,to carry out the transaction.,{{$t('user.bkrFailedTransactionUnderCardText')}},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,The transaction could not be completed,{{$('user.failed_transaction_underMessagePopupTitle')}},1  
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Okay,{{ $t(no_need_todo_this_actually) }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,cannot receive, {{$t('user.cannotReceiveCardText')}},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,,bkr,1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Connection problems,{{ $t('user.connectionProblemsCardText') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Something went wrong when connecting to chat with this member. Please try again later.,Något gick fel vid anslutning till chatt med denna {{ $t('user.member_label') }}. Försök igen senare.,1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Okay,{{ $t(no_need_todo_this_actually) }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,The transaction could not be completed, {{$('user.failed_transaction_underMessagePopupTitle')}},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Incorrect number of,{{$t('user.incorrectNumberOfCardText')}},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Okay,{{ $t(no_need_todo_this_actually) }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,General information,{{ $t('user.general_information') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Business name,{{ $t('user.business') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Description,{{ $t('user.description') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Street address,{{ $t('user.street_address') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Town/city,{{ $t('user.town') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Billing information,{{ $t('user.billing') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Name,{{ $t('user.billingnamelabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Zip code,{{ $t('user.zipCodelabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Address,{{ $t('user.street_address') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Organization number,{{ $t('user.orgnumberlabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Contact information,{{ $t('user.contact') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Email,{{ $t('user.emailcontactlabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Phone,{{ $t('user.telephonecontaclabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Save,{{ $t('user.saveLabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Now, {{ $t('user.nowLabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Today, {{ $t('user.todayLabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Yesterday,{{ $t('user.yesterdayLabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7, days ago, {{ $t('user.daysAgoLabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,Never, {{ $t('user.neverLabel') }},1
sb.web.app/src/components/AdminSection/Members/userProfile.vue:7,,,1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,ADD MEMBER,{{ $t('user.addMember') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,General information,{{ $t('user.general_information') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Profile picture,Profilbild,1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Business name,{{ $t('user.business') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Description,{{ $t('user.description') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Street address,{{ $t('user.street_address') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Town/city,{{ $t('user.town') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Billing information,{{ $t('user.billing') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Name,{{ $t('user.billingnamelabel') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Zip code, {{ $t('user.zipCodelabel') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Address,{{ $t('user.street_address') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Organization number,{{ $t('user.orgnumberlabel') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Contact information,{{ $t('user.contact') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Email:,{{ $t('user.emailcontactlabel') }},1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Phone:,{{ $t('user.telephonecontaclabel') }}:,1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,Register,Registrera,1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,The new member is now registered. An email with sign in details has been sent to the specified email address.,Den nya medlemmen är nu registrerad. Ett mail med inloggningsuppgifter har skickats till angivna mailadressen.,1
sb.web.app/src/components/AdminSection/AdminAddMember.vue:4,,,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Don't forget to protect /admineconomy link,Glöm inte att skydda /admineconomy länk,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Network overview,{{ $t('user.financialOverview') }},1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Network statistics,EconomyStats,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Today,Dagens,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Number of transactions:,{{ $t('number_of_transactions') }}:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Turnover/income:,Omsättning:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,This week,Veckans,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Number of transactions:,{{ $t('number_of_transactions') }}:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Turnover/income:,Omsättning:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,The month,Månadens,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Number of transactions:,{{ $t('number_of_transactions') }}:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Turnover/income:,Omsättning:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,This year,Årets,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Number of transactions:,{{ $t('number_of_transactions') }}:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Turnover/income:,Omsättning:,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Filter,Filtrera,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,From,Från och med,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,To,Till och med,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Business,Företag,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Product,{{ $t('product') }},1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Maximum number of lines,Max antal rader,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Download as CSV,Ladda ner lista som CSV,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Buyer,Köpare,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Seller,{{ $t('Salesperson') }},1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Item,Artikel,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Quantity,{{ $t('quantity') }},1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Price,{{ $t('price') }},1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Total,Summa,1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Timestamp,{{ $t('timestamp') }},1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,Download invoice,{{ $t('downloadInvoice') }},1
sb.web.app/src/components/AdminSection/AdminEconomy.vue:1,,,1
sb.web.app/src/components/AdminSection/AdminHome.vue:4,MEMBERS,{{ $t('memberCAPS') }},1
sb.web.app/src/components/AdminSection/AdminHome.vue:4,Who do you want to search for today?, {{$t('whoDoYouWantToSearchForToday)}},1 
sb.web.app/src/components/AdminSection/AdminHome.vue:4,,,1
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Shop,Shop,1
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Shop,Shop,2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Add member,{{ $t('user.addMember') }},2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Members, {{ $t('nav.members') }} ,2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Network overview,{{ $t('user.financialOverview') }},2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Network,{{ $t('Economy') }},2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Messages, {{ $t('nav.messages') }} ,2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Messages, {{ $t('nav.messages') }} ,2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Settings,{{ $t('Preferences') }},2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,Settings,{{ $t('Preferences') }},2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10, Sign out, {{ $t('nav.sign_out') }} ,2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10, Sign out, {{ $t('nav.sign_out') }} ,2
sb.web.app/src/components/AdminSection/AdminNavbar.vue:10,,,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,"No implemented functionality, just the design.","Ingen implementerad funktionalitet, bara designen.",2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,NETWORK SETTINGS,NÄTVERKSINSTÄLLNINGAR,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,Transaction fees,Transaktionsavgift,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,Percentage for sellers,Säljare procentsats,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,Percentage for buyers,Köpare procentsats,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,Rate per,Ränta på,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,,BSEK,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,Percentage,Procentsats,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,,Ska ändras till svenska,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,Maximum,Maximum,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,Minimum,Minimum,2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,"Note, has reduced the entire window, change back at addition","OBS, har minskat hela fönstret, ändra tillbaka vid tillägg",2
sb.web.app/src/components/AdminSection/NetworkSettings.vue:2,,,2
sb.web.app/src/components/Chat/Chat.vue:1,Some of the features of this file lead to sb.web.app/src/serverfetch.js which in turn leads to backend/routes/index.js,Vissa av funktionerna i denna fil leder till sb.web.app/src/serverfetch.js som i sin tur leder till backend/routes/index.js,2
sb.web.app/src/components/Chat/Chat.vue:1,<replaced>,MEDDELANDEN,2
sb.web.app/src/components/Chat/Chat.vue:1,Started all-member chat,Har startat chat med alla medlemmar,2
sb.web.app/src/components/Chat/Chat.vue:1,,,2
sb.web.app/src/components/Chat/ChatBox.vue:5,<replaced>,Starta ny chatt,2
sb.web.app/src/components/Chat/ChatBox.vue:5,,,2
sb.web.app/src/components/Chat/ChatHistory.vue:3,YOUR CHATS,DINA CHATTAR,2
sb.web.app/src/components/Chat/ChatHistory.vue:3,,,2
sb.web.app/src/components/Chat/InputField.vue:17,Upload a file,Ladda upp en fil,2
sb.web.app/src/components/Chat/InputField.vue:17,Send,{{ $t('misc.send') }},2
sb.web.app/src/components/Chat/InputField.vue:17,A message is to be sent,ett meddelande ska skickas,2
sb.web.app/src/components/Chat/InputField.vue:17,If a file is to be sent,om en fil ska skickas,2
sb.web.app/src/components/Chat/InputField.vue:17,,,2
sb.web.app/src/components/Chat/SpeechBubble.vue:3,Print message/file/image in chat bubble:,Skriva ut meddelande/fil/bild i chatbubbla:,2
sb.web.app/src/components/Chat/SpeechBubble.vue:3,,,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,NEW ITEM,NY ARTIKEL,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Back,Tillbaka,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Invalid date.,Datumet är felaktigt.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Please try again.,Var god ändra detta och försök igen.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Price must be stated as a positive integer.,Pris måste anges som ett positivt heltal.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Please try again.,Var god ändra detta och försök igen.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Upload images,Ladda upp bilder,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,At least one image must be added before proceeding.,Minst en bild måste läggas till innan du kan gå vidare.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,A cover image must be selected before proceeding.,En omslagsbild måste väljas innan du kan gå vidare.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Invalid entry,Felaktig inmatning,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Next,Nästa,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,One or more fields have been left empty.,Ett eller flera inmatningsfält har lämnats tomma.\n Var god fyll i dessa.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,"The file must be an image with file extension .png, .jpeg or .gif","Filen måste vara en bild med filändelse .png, .jpeg eller .gif",2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,and be smaller than 2 MB.,och ha mindre storlek än maxgränsen på 2MB.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Please try again.,Var god försök igen.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Preview,Förhandsgranska,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Publish,Publicera,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Next,Nästa,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Next,Nästa,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Preview,Förhandsgranska,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Something went wrong when uploading the item.,Något gick fel när artikeln skulle laddas upp.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Please try again later.,Var god försök igen senare.,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Product,{{ $t('product') }},2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Service,Tjänst,2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Purchase,{{ $t('purchase') }},2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,Sell,{{ $t('sell') }},2
sb.web.app/src/components/CreateArticle/NewArticle.vue:3,,,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,PREVIEW,FÖRHANDSGRANSKNING,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Make sure the data is correct,Kontrollera att uppgifterna stämmer,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Name,Rubrik,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Description,{{ $t('user.description') }},2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Type of item,Typ av artikel,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Category,Kategori,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Time,Tid,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Location,{{ $t('location') }},2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Price,{{ $t('price') }},2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Images,Bilder,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Confirmation,Publiceringsbekräftelse,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Thanks!,Tack! ,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Your item is now visible in the shop.,Din artikel är nu publicerad i shopen.,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Okay,{{ $t(no_need_todo_this_actually) }},2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,Indefinitely.,På obestämd tid.,2
sb.web.app/src/components/CreateArticle/PreviewArticle.vue:4,,,2
sb.web.app/src/components/CreateArticle/PreviewItem.vue:6,Selected as a cover image,Vald som omslagsbild,2
sb.web.app/src/components/CreateArticle/PreviewItem.vue:6,,,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Item purpose,Artikelns syfte,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Purchase,{{ $t('purchase') }},2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Sell,{{ $t('sell') }},2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Are you looking to sell or purchase the item?,Önskas artikeln att köpas eller ska den säljas?,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,What is your item called?,Vad ska din artikel heta?,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Name,Rubrik,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Description,{{ $t('user.description') }},2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Describe your item,Beskriv vad som ingår i din artikel,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Category,Kategori,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Business Networking,Affärsnätverk,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Facilities,Anläggning,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Antiques,Antikviteter,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Auction,Auktion,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Banking & Insurance,Bank & Försäkring,2
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Used & Recycling,Begagnat & Återbruk,3
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Staffing,Bemanning,3
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Shopping,Butiker,3
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Construction & Property Maintenance,Bygg och Fastighetsunderhåll,3
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Cafés & Pubs,Café Pub & Servering,3
sb.web.app/src/components/CreateArticle/StepOne.vue:5,"Economics, Law & Business Development",{{ $t('Economy') }} Juridik & Affärsutveckling,3
sb.web.app/src/components/CreateArticle/StepOne.vue:5,Energy,Energi,3
